"mpg","cylinders","cubicinches","hp","weightlbs","time.to.60","year","brand"
"1",6,2,65,75,210,"12","1972"," US."
"2",69,4,18,19,14,"14","1980"," Europe."
"3",13,7,59,64,164,"11","1971","USA"
"4",1,1,70,69,183,"10","1971","USA"
"5",1,4,17,11,30,"17","1978"," US."
"6",-1,2,65,55,193,"17","1980"," US."
"7",5,7,66,73,222,"13","-1"," US."
"8",6,7,72,82,216," 9","1971"," US."
"9",-1,5,47,24,170,"20","1980"," Europe."
"10",90,4,13,10,29,"17","1982"," Japan."
"11",79,4,22,18,54,"17","1983"," Japan."
"12",82,4,16,25,47,"16","1981"," Europe."
"13",10,7,59,64,208,"14","1975"," US."
"14",3,7,65,79,178,"11","1974"," US."
"15",22,6,51,36,154,"-1","1981"," US."
"16",12,7,65,72,221,"15","1980"," US."
"17",68,4,10,13,27,"19","1980"," Japan."
"18",10,7,60,69,160,"12","1971"," US."
"19",43,4,25,40,59,"16","1973"," Japan."
"20",43,4,21,36,71,"15","1971"," Europe."
"21",88,4,11,13,26,"16","1981"," Japan."
"22",34,4,31,49,86,"13","1978"," Europe."
"23",43,6,50,28,128,"18","1977"," US."
"24",9,7,66,65,199,"14","1980"," US."
"25",92,4,13,8,22,"19","1981"," Japan."
"26",76,4,15,5,7,"17","1977"," Japan."
"27",64,4,3,13,6,"19","1972"," Japan."
"28",6,7,66,67,234,"14","1976"," US."
"29",17,6,54,25,173,"21","1977"," US."
"30",61,4,17,13,68,"21","1982"," US."
"31",53,4,16,35,40,"15","1971"," Japan."
"32",10,6,54,45,147,"18","1974"," US."
"33",39,4,30,42,74,"15","1973"," Japan."
"34",32,6,49,36,94,"15","1971"," US."
"35",62,4,16,15,24,"16","1978"," Japan."
"36",37,6,52,49,157,"16","1982"," US."
"37",49,4,18,1,11,"21","1971"," Europe."
"38",34,3,7,49,103,"14","1978"," Japan."
"39",11,7,66,62,196,"13","1980"," US."
"40",28,6,53,36,146,"18","1980"," US."
"41",10,6,54,47,192,"19","1976"," US."
"42",6,7,59,64,232,"16","1975"," US."
"43",20,6,54,49,177,"16","1977"," US."
"44",14,6,54,49,168,"16","1978"," US."
"45",6,7,74,44,135,"10","1971"," US."
"46",67,4,30,21,91,"18","1982"," Japan."
"47",5,7,63,69,182,"14","1977"," US."
"48",36,4,32,33,69,"16","1973"," US."
"49",59,4,16,25,16,"15","1978"," Europe."
"50",28,6,50,35,132,"17","1982"," US."
"51",5,7,70,69,228,"12","1974"," US."
"52",54,4,38,19,142,"25","1980"," Europe."
"53",6,7,64,74,175," 8","1971"," US."
"54",1,4,28,22,45,"16","1974"," Europe."
"55",11,7,65,79,223,"12","1977"," US."
"56",10,7,70,85,214,"10","1974"," US."
"57",21,6,42,48,118,"16","1977"," Japan."
"58",77,4,17,30,33,"16","1978"," US."
"59",59,4,14,18,15,"14","1977"," Europe."
"60",5,7,67,78,187,"11","1974"," US."
"61",17,6,53,45,120,"16","1974"," US."
"62",36,4,22,39,67,"17","1974"," Japan."
"63",74,6,44,58,117,"11","1981"," Japan."
"64",101,4,18,13,35,"18","1981"," Japan."
"65",6,7,63,69,213,"15","1974"," US."
"66",20,6,54,43,169,"19","1978"," US."
"67",49,4,16,1,18,"21","1974"," Europe."
"68",70,4,18,15,21,"16","1983"," Japan."
"69",60,4,16,19,9,"12","1977"," Europe."
"70",14,7,61,66,191,"13","1978"," US."
"71",27,6,48,40,136,"17","1975"," US."
"72",53,4,24,35,93,"19","1983"," US."
"73",56,4,16,38,61,"17","1973"," Japan."
"74",43,4,29,42,77,"17","1976"," Japan."
"75",59,4,17,30,50,"17","1975"," Europe."
"76",91,6,57,32,129,"17","1983"," US."
"77",38,6,53,36,134,"18","1977"," US."
"78",33,4,35,40,75,"15","1979"," Japan."
"79",49,4,17,36,58,"16","1974"," Europe."
"80",73,4,22,22,65,"17","1982"," Japan."
"81",9,1,70,80,217,"12","1978"," US."
"82",4,7,71,81,239,"12","1974"," US."
"83",23,7,61,66,159,"13","1979"," US."
"84",39,4,27,40,101,"15","1976"," Europe."
"85",46,4,28,28,51,"17","1977"," Europe."
"86",84,4,4,17,2,"18","1972"," Japan."
"87",17,6,49,42,108,"16","1971"," US."
"88",15,6,51,32,166,"17","1982"," US."
"89",56,4,14,22,38,"15","1975"," US."
"90",64,4,29,29,103,"19","1983"," US."
"91",80,4,11,13,23,"15","1980"," Japan."
"92",54,4,29,42,63,"15","1979"," Japan."
"93",5,7,65,78,206,"13","1974"," US."
"94",13,6,54,45,150,"16","1972"," US."
"95",49,4,17,26,57,"18","1977"," US."
"96",13,6,52,49,194,"21","1976"," US."
"97",4,7,65,79,230,"13","1974"," US."
"98",17,6,54,35,138,"15","1972"," US."
"99",19,7,63,60,188,"15","1980"," US."
"100",10,6,54,45,184,"17","1975"," US."
"101",3,7,70,69,240,"14","1974"," US."
"102",4,7,70,76,237,"13","1974"," US."
"103",46,4,17,27,39,"17","1973"," US."
"104",81,4,20,18,1,"13","1980"," US."
"105",72,4,22,22,58,"15","1981"," Japan."
"106",51,4,41,31,91,"16","1982"," US."
"107",98,4,14,2,64,"24","1981"," Europe."
"108",62,4,12,23,31,"15","1972"," Europe."
"109",46,4,31,51,98,"14","1976"," Europe."
"110",17,7,62,57,167,"12","1971"," US."
"111",27,4,16,35,60,"19","1974"," Japan."
"112",17,4,31,50,119,"15","1973"," Europe."
"113",10,7,66,68,218,"15","1978"," US."
"114",76,4,15,5,7,"18","1976"," Japan."
"115",89,4,15,17,40,"15","1980"," Europe."
"116",17,6,51,40,185,"19","1976"," US."
"117",45,4,41,35,106,"16","1978"," US."
"118",32,6,52,49,131,"15","1976"," US."
"119",83,4,17,13,28,"16","1982"," US."
"120",8,7,71,81,219,"10","1971"," US."
"121",53,4,19,30,49,"15","1977"," Europe."
"122",49,4,6,15,20,"16","1975"," Europe."
"123",10,7,70,77,235,"12","1976"," US."
"124",40,4,42,47,107,"17","1979"," US."
"125",53,4,16,8,10,"19","1972"," Europe."
"126",50,4,37,20,79,"14","1977"," US."
"127",5,7,67,77,233,"13","1974"," US."
"128",63,4,20,22,53,"15","1979"," US."
"129",27,4,26,37,81,"14","1974"," Europe."
"130",86,4,17,14,8,"14","1979"," US."
"131",49,4,16,25,63,"15","1975"," Europe."
"132",56,4,41,36,100,"17","1981"," US."
"133",4,7,74,84,238,"-1","1974"," US."
"134",13,7,60,69,179,"12","1973"," US."
"135",8,7,65,66,226,"14","1976"," US."
